MOF,Relax_AV,Relax_vol,NVT_AV,NVT_vol,NPT_AV,NPT_vol,Relax,NVT,NVT_std,NPT,NPT_std
EMITUQ,8775.1246,47061.7,8607.127301,47180.4,6805.591,43458.95,0.12895,0.1375492,0.013106669,0.09556004,0.004628568
COGWEB,14374.7,71622.7,13693.55,71622.7,3353.939,54088.91,0.18661,0.5894667,0.023533046,0.589558,0.024859423
BONWIL,553.867,36390.8,576.42966,36390.8,787.7941,37466.08,7.38E-09,0.000961956,3.95E-05,0.000835834,5.32E-05
AROFET,5360.67,30900.8,5331.529322,30830.6,1962.472219,24480.07,0.170028,0.06158963,0.010000316,0.04993017,0.002311465
GACQAE,15890.5,58666.8,14989.61,58666.8,646.2515,34988.09,0.0351267,0.05722999,0.006026158,5.42E-10,1.18E-09
CUNWEO,4972.3,54797.2,4325.58216,54797.2,2951.351829,51299.91,0.0846408,0.1385886,0.010848164,0.8671693,0.063986742
GAXWEJ,2230.01661,43915.3,2073.767,43915.3,197.6827,40738.12,0.0433421,0.3217275,0.046907858,0.3219764,0.047289087
DAGDIZ,4894.17,51463.4,4876.2645,51463.4,5222.113,52084.44,0.308296,0.3152782,0.006247597,0.2527673,0.004633476
BENXUP,401.911,42847.7,277.82459,42847.7,53.37304,40054.05,2.17E-08,2.72E-13,7.64E-13,8.95E-13,2.21E-12
FIPXEJ,1005.03,45109.1,1129.80238,45109.1,1861.396,47425.47,0.398316,0.000586602,0.000400841,0.00664733,0.002930027
AVIMOI,1721.84,29332.8,1689.393988,29332.8,1864.283279,29620.11,1.73609,0.14268221,0.025808214,0.1415976,0.023470088
ANUGIA,20690.9,44458.3,20621.08,44458.3,19242.21,42954.47,0.0055996,0.003127245,0.000126968,0.00418141,0.000130389
GITWIQ,3334.76,48343.8,3350.52,48343.8,3443.807,48750.38,0.29509,0.690132,0.038019469,0.6774884,0.038178183
GULPIN,326.972,17867.3,280.5524,17867.3,123.34747,17226.17,0.0363963,1.70E-05,2.55E-05,0.000624818,0.001478784
GUYLUI,279.141,27637.7,48.42127,27637.7,64.38753,28192.21,0.839303,4.64E-12,9.19E-12,1.11E-13,1.15E-13
