MOF,Relax_AV,Relax_vol,NVT_AV,NVT_vol,NPT_AV,NPT_vol,Relax,NVT,NVT_std,NPT,NPT_std
EMITUQ,8775.124600000001,47061.7,8607.127300799999,47180.40000000001,6805.591,43458.95,0.000188675,0.000179516125,6.099545422355261e-06,0.00011806775,2.0552585451713847e-06
COGWEB,14374.7,71622.7,13693.55,71622.69999999998,3353.939,54088.909999999996,0.000174124,0.00018557875,4.197007468125349e-06,0.00022753674999999998,9.057841902876207e-06
BONWIL,553.867,36390.8,576.42966,36390.8,787.7941000000001,37466.08,0.000187071,0.00016172875,1.1304863309102863e-05,0.000169791375,1.4521079573653436e-05
AROFET,5360.67,30900.8,5331.529322200001,30830.599999999995,1962.4722191,24480.07,0.000158321,6.877279999999999e-05,3.3753227438276187e-06,3.32616875e-05,1.2832276770291964e-06
GACQAE,15890.5,58666.8,14989.61,58666.80000000001,646.2515000000001,34988.090000000004,0.000124894,0.00012101275,3.558836493504583e-06,1.140731125e-05,7.174516827437645e-06
CUNWEO,4972.3,54797.2,4325.58216,54797.2,2951.351829,51299.91000000001,0.000183359,0.000186461625,1.3350407408928578e-05,0.000254626375,1.1998148627366439e-05
GAXWEJ,2230.01661,43915.3,2073.7669999999994,43915.3,197.6827,40738.12,0.000181427,0.00017302725,5.283096576582711e-06,3.89127e-07,6.615406135302653e-08
DAGDIZ,4894.17,51463.4,4876.264499999999,51463.40000000001,5222.112999999999,52084.44,0.000112333,0.00011183275000000001,1.3231890218332362e-06,9.864491250000001e-05,3.61560197630958e-06
BENXUP,401.911,42847.7,277.82459,42847.7,53.37304,40054.05,3.90463e-09,4.4065132499999995e-08,7.309049837480601e-08,6.42964835e-11,7.58124305755198e-11
FIPXEJ,1005.03,45109.1,1129.80238,45109.09999999999,1861.396,47425.47,1.22331e-05,0.00015068299999999998,1.1859947407134651e-05,0.000637716625,7.075014991845864e-05
AVIMOI,1721.84,29332.8,1689.3939882000002,29332.8,1864.283279,29620.110000000004,0.000112177,0.000122535375,7.250815211710682e-06,0.00014624525,6.8983516645282715e-06
ANUGIA,20690.9,44458.3,20621.08,44458.3,19242.21,42954.469999999994,2.67707e-05,2.6533725e-05,3.587431105610251e-07,2.8153849999999998e-05,5.282133778124139e-07
GITWIQ,3334.76,48343.8,3350.5199999999995,48343.8,3443.8070000000007,48750.37999999999,0.000312177,0.000255375,7.5751227547809405e-06,0.000244793375,6.482517391752606e-06
GULPIN,326.972,17867.3,280.5524,17867.299999999996,123.34746999999997,17226.17,5.792e-06,1.3061455e-05,6.1116222089965615e-06,2.51208825e-06,2.1344172484487866e-06
GUYLUI,279.141,27637.7,48.42127000000001,27637.7,64.38753,28192.21,2.46546e-06,2.3670023087500003e-07,5.043992525408626e-07,3.4829330237500003e-07,7.007195885697174e-07
